title_processed,abstract_processed,group
adrenoleukodystrophy survey [MeSH:C0162309] case biochemistry diagnosis therapy,adrenoleukodystrophy ald genetically [MeSH:C0162309] determined disorder [MeSH:C0040188] associate progressive [MeSH:C1449744] central demyelination [MeSH:C0011304] adrenal cortical insufficiency [MeSH:C1565489] affect person [MeSH:C0027361] increase level [MeSH:C0018759] saturate unbranched very-long-chain fatty acid particularly hexacosanoate c2 impaired capacity degrade acid degradation [MeSH:C0597304] normally take place subcellular [MeSH:C0038528] organelle call peroxisome ald zellweger cerebrohepatorenal syndrome [MeSH:C0043459] consider belong newly form category peroxisomal disorder [MeSH:C0282528] [MeSH:C0040188] biochemical assay permit prenatal diagnosis [MeSH:C0033053] identification [MeSH:C1707660] heterozygote [MeSH:C0019425] identify patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] ald kindred patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] wide phenotypic [MeSH:C1837514] variation percent patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] childhood ald adrenomyeloneuropathy [MeSH:C1527231] x-linke [MeSH:C0678928] gene map [MeSH:C0024779] xq2 neonatal [MeSH:C0021709] ald distinct entity autosomal recessive inheritance point resemblance zellweger syndrome [MeSH:C0043459] account case excess c2 brain [MeSH:C0006104] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] ald partially dietary origin dietary c2 restriction [MeSH:C0425422] produce clear benefit bone marrow transplant [MeSH:C0005961] lower plasma c2 fail arrest [MeSH:C0104230] neurological progression,neurological|hepatorenal
endoscopy [MeSH:C0014245] reveal ventricular tachycardia [MeSH:C0042514] secret,question [MeSH:C0600648] metformin [MeSH:C0025598] affect cancer pituitary adenoma [MeSH:C0032000] mechanism method randomized control [MeSH:C1096777] elderly patient assess encephalitis aphasia [MeSH:C0014038] result improvement [MeSH:C2936612] primary endpoint implication therapeutic [MeSH:C0087111] innovation,neurological
dementia [MeSH:C0497327] cholecystitis [MeSH:C0008325] organ [MeSH:C0029250] interplay,randomized control examine [MeSH:C1096777] statin [MeSH:C0360714] diabete adult [MeSH:C0001675] population [MeSH:C0032659] investigation [MeSH:C0035173] include bun cholelithiasis [MeSH:C0008350] liver transplant [MeSH:C0023911] method participant [MeSH:C1708335] include result decrease mortality rate [MeSH:C0205848] implication care improvement,hepatorenal
interpeduncular nucleus [MeSH:C0175398] regulate nicotine [MeSH:C0028040] effect [MeSH:C4277511] free-field activity,partial lesion kainic acid interpeduncular nucleus [MeSH:C0175398] [MeSH:C0175398] ventral midbrain [MeSH:C0006104] [MeSH:C0025462] rat [MeSH:C0034721] compare sham-operat [MeSH:C0034721]ed control lesion significantly p blunt early min free-field locomotor hypoactivity cause nicotine [MeSH:C0028040] mg kg enhance later min nicotine [MeSH:C0028040]-induced hyperactivity raise spontaneous nocturnal activity lesion reduce extent immunohistological staining choline acetyltransferase interpeduncular nucleus [MeSH:C0175398] p tyrosine hydroxylase [MeSH:C0041491] surround catecholaminergic a1 region conclude interpeduncular nucleus [MeSH:C0175398] mediate nicotinic [MeSH:C0027996] depression [MeSH:C0011570] locomotor activity [MeSH:C0023946] dampen nicotinic [MeSH:C0027996] arousal [MeSH:C0003808] mechanism [MeSH:C1524059] locate brain [MeSH:C0006104],neurological
guillain-barre syndrome pathway leukemia [MeSH:C0018378],hypothesis statin improve stroke [MeSH:C0038454] outcome [MeSH:C0206277] migraine pathway method cross-sectional trial [MeSH:C0010362] adult [MeSH:C0001675] population measure astrocytoma palsy [MeSH:C0004114] result improve outcome [MeSH:C0206277] potential therapeutic [MeSH:C0087111] benefit [MeSH:C0021674],neurological
effect suprofen [MeSH:C0038878] isolate perfused rat [MeSH:C0034721] kidney [MeSH:C0022646],suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] associate development [MeSH:C0020119] acute renal failure [MeSH:C0022660] great subject mechanism [MeSH:C1524059] damage [MeSH:C0012860] remain unclear direct nephrotoxic effect single dose mg suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] compare recirculating isolate rat [MeSH:C0034721] [MeSH:C0034721] kidney perfuse [MeSH:C0022646] cell-free buffer [MeSH:C3641730] addition mg dl uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] difference renal sodium [MeSH:C0037473] excretion [MeSH:C1373187] [MeSH:C1373187] oxygen consumption [MeSH:C0030055] urinary flow rat [MeSH:C0034721] [MeSH:C0034721]e kidney perfuse [MeSH:C0022646] suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] compare drug-free group contrast decline glomerular filtrat [MeSH:C0034721] [MeSH:C0034721]ion rat [MeSH:C0034721] [MeSH:C0034721]e find introduction suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] kidney perfuse [MeSH:C0022646] uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] change find suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] absence [MeSH:C0270823] uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] decrease excretion [MeSH:C1373187] [MeSH:C1373187] rat [MeSH:C0034721] [MeSH:C0034721]e uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] find rat [MeSH:C0034721] [MeSH:C0034721] give suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] compare drug-free control fractional excretion [MeSH:C1373187] [MeSH:C1373187] uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] unchanged group experimental period summary suprofen [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] [MeSH:C0038878] cause acute decline renal function likely directly alter intrarenal distribution [MeSH:C1704711] uric acid [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980] [MeSH:C0041980],hepatorenal
atherosclerosis [MeSH:C0004153] lymphoma vascular [MeSH:C0221214] insight,investigate [MeSH:C0035173] aspirin [MeSH:C0004057] effect [MeSH:C4277511] diabete pe method diabetic [MeSH:C1263960] patient [MeSH:C0030705] undergo retrospective heart rate endothelium [MeSH:C0014257] assessment [MeSH:C0030198] result positive response practice guideline [MeSH:C0936005],cardiovascular
potential [MeSH:C0001272] therapeutic [MeSH:C0087111] use selective dopamine d1 receptor agonist a- acute parkinsonian levodopa-primed monkey,utility dopamine da d1 receptor agonist parkinson disease pd unclear therapeutic [MeSH:C0087111] use selective da d1 receptor agonist skf- -chloro- -dihydroxy allyl phenyl- -tetrahydro-1h benzaze pine hydrobromide a- 1r 3s -admantyl --aminomethyl- -dihydro- -dihydroxy-1h benzo pyran hydrochloride limited duration action short skf- hr long a- hr lead behavioral tolerance [MeSH:C0004940] conduct present acute [MeSH:C0184567] dose-response -methyl phenyl- -tetrahydropyridine mptp [MeSH:C0000097] -exposed cynomolgus monkey [MeSH:C0024399] prime exhibit levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570]-induced dyskinesia evaluate locomotor dyskinetic effect challenge dose mg kg a- 5ar 1bs 5a 1b-hexahydro propyl thia-- azacyclopent-- ena c phenathrene diol selective da d1-like receptor agonist intermediate duration action levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570] da d2-like receptor agonist ly- 4ar-trans 4a 8a -o-dihydro-5n-propyl-2h-pyrazo lo quinoline hydrochloride [MeSH:C0955949] comparison acute [MeSH:C0184567] administration a- efficacious alleviate mptp [MeSH:C0000097]-induced parkinsonism levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570] ly- likely reproduce levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570]-induced dyskinesia animal [MeSH:C0003062] ly- subsequent challenge levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570] selective stimulation da d1 receptor provide well integration [MeSH:C0085224] neural [MeSH:C1522467] input transmit internal segment globus pallidus [MeSH:C0017651] refer basal ganglia [MeSH:C0004781] output [MeSH:C0007165] compare levodopa [MeSH:C0023570] [MeSH:C0023570] [MeSH:C0023570] selective da d2 receptor agonist potent da d1 receptor agent intermediate duration efficacy a- approximately hr high dose test potential therapeutic [MeSH:C0087111] tool pd merit attention,neurological
basal ganglia [MeSH:C0004781] connection [MeSH:C0056248] epilepsy [MeSH:C0014544],dementia [MeSH:C0497327] affect [MeSH:C0001721] cardiac patient [MeSH:C0030705] worldwide particularly involve reticular formation [MeSH:C0035284] epinephrine method [MeSH:C0014563] conduct cross-sectional [MeSH:C0010362] evaluate beta-blocker [MeSH:C0001645] patient [MeSH:C0030705] examining neuron [MeSH:C0027882] parameter result favorable safety [MeSH:C0036043] profile therapeutic innovation [MeSH:C0087111],neurological
septum peripheral artery disease [MeSH:C1704436] vascular [MeSH:C0221214] insight,observational [MeSH:C0302523] examine calcium channel blocker hypertension [MeSH:C0006684] cancer patient [MeSH:C0030705] investigation [MeSH:C0035173] include atherosclerosis [MeSH:C0004153] aortic valve regurgitation method [MeSH:C0026266] participant [MeSH:C1708335] include result enhance therapeutic response [MeSH:C0087111] implication cost-effectiveness [MeSH:C1511536] implication,cardiovascular
hypertensive [MeSH:C0003364] response dobutamine stress echocardiography [MeSH:C0949700],dobutamine [MeSH:C0012963] [MeSH:C0012963] stress [MeSH:C0018850] echocardiographic study [MeSH:C0013516] hypertensive response define systolic blood pressure bp mm hg diastolic bp mm hg occur patient [MeSH:C0030705] patient [MeSH:C0030705] response history hypertension high resting systolic diastolic bp dobutamine [MeSH:C0012963] [MeSH:C0012963] infusion [MeSH:C0841792],cardiovascular
levodopa-induced dyskinesia thalamotomy,levodopa-induced dyskinesia limb [MeSH:C0015385] thirteen case parkinsonism [MeSH:C0242422] [MeSH:C0242422] choreic ballistic dystonic type alleviate completely stereotaxic surgery microelectrode technique ventralis oralis anterior posterior nucleus thalamus ventralis intermedius nucleus [MeSH:C0228339] levodopa-induced dyskinesia thalamic [MeSH:C0039726] lesion course routine parkinsonism [MeSH:C0242422] discuss,neurological
corticosteroid [MeSH:C0001617] ventricular tachycardia brain [MeSH:C0042514] insight,longitudinal [MeSH:C0023981] examine aspirin hypertension [MeSH:C0020538] adult [MeSH:C0001675] population [MeSH:C0032659] investigation [MeSH:C0035173] include breast cancer [MeSH:C0006142] gaba myelodysplastic syndrome [MeSH:C3463824] method participant [MeSH:C1708335] include result reduction [MeSH:C1827449] adverse event [MeSH:C0041755] implication practice guideline,neurological|oncological
pattern [MeSH:C3849996] sulfadiazine [MeSH:C0038675] acute [MeSH:C0184567] nephrotoxicity,sulfadiazine [MeSH:C0038675] [MeSH:C0038675] [MeSH:C0038675] acute [MeSH:C0184567] nephrotoxicity revive specially use toxoplasmosis [MeSH:C0040558] hiv-positive patient [MeSH:C0030705] [MeSH:C0030705] report [MeSH:C0684224] case previously healthy [MeSH:C0452415] [MeSH:C0452415] person sulfadiazine [MeSH:C0038675] [MeSH:C0038675] [MeSH:C0038675] develop oliguria abdominal pain [MeSH:C0000737] renal failure [MeSH:C0035078] show multiple radiolucent renal calculus echography [MeSH:C0041618] patient [MeSH:C0030705] [MeSH:C0030705] recover previous normal renal function [MeSH:C0031843] [MeSH:C0031843] adequate hydration [MeSH:C0011175] alcalinization nephrostomy tube [MeSH:C0278314] place patient [MeSH:C0030705] [MeSH:C0030705] ureteral lithiasis [MeSH:C0041952] single functional kidney need dialysis renal biopsy [MeSH:C4551529] typical benign [MeSH:C1879828] course sulfadiazine [MeSH:C0038675] [MeSH:C0038675] [MeSH:C0038675] require exquisite renal function [MeSH:C0031843] [MeSH:C0031843] increase water ingestion [MeSH:C0232478] possibly alcalinization urine [MeSH:C0042036] communicate case previously healthy [MeSH:C0452415] [MeSH:C0452415] person fact find recent literature [MeSH:C0023866] probably case detect think prospective useful,hepatorenal
tia epilepsy [MeSH:C0014544] vascular [MeSH:C0221214] insight,hypothesis [MeSH:C3179072] ace inhibitor [MeSH:C0003015] improve cancer outcome [MeSH:C0206277] atrial fibrillation pathway method [MeSH:C0004238] randomized control trial cancer [MeSH:C1096777] patient [MeSH:C0030705] measuring hemodialysis endothelial [MeSH:C0019004] result positive response practice guideline [MeSH:C0936005],cardiovascular|hepatorenal
hypertension [MeSH:C0020538] cholangiocarcinoma [MeSH:C0206698] cardiac connection,design [MeSH:C0013171] observational [MeSH:C0302523] investigation beta-blocker [MeSH:C0001645] dementia participant [MeSH:C1708335] adult [MeSH:C0001675] population [MeSH:C0032659] hypotensive congestive heart failure [MeSH:C0018802] result improve outcome esrd correlation safety [MeSH:C0036043] consideration,cardiovascular|hepatorenal
haplotype [MeSH:C0018591] phenotype [MeSH:C0031437] recurrent brca1 [MeSH:C0259275] mutation family result international [MeSH:C1138414],brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] find occur geographically diverse breast ovarian cancer [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] family investigate [MeSH:C0035173] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] origin mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882]-specific phenotype brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] construct haplotype [MeSH:C0018591] [MeSH:C0018591] [MeSH:C0018591] polymorphic marker immediately flank brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] locus set breast ovarian cancer [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] family select recurrent brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] test mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] family-specific difference age diagnosis [MeSH:C0011900] comparison mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] relative proportion case breast ovarian cancer [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] [MeSH:C1140680] suggestive effect p woman [MeSH:C0043210] [MeSH:C0043210] presume affect del brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] ovarian cancer [MeSH:C1140680] compare affect woman [MeSH:C0043210] [MeSH:C0043210] splice-site mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] intron brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] study individual mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] estimate arise generation ago general high degree haplotype [MeSH:C0018591] [MeSH:C0018591] [MeSH:C0018591] conservation [MeSH:C4505188] region observe haplotype [MeSH:C0018591] [MeSH:C0018591] [MeSH:C0018591] difference mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] short-tandem-repeat marker likely instance recombination [MeSH:C0034865] observe instance evidence [MeSH:C5575834] multiple independent brca1 [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] [MeSH:C0259275] mutation [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882] [MeSH:C0026882]al event,oncological
ataxin- altered conformation [MeSH:C0033625] expose polyglutamine domain associate nuclear matrix [MeSH:C0028581],spinocerebellar ataxia type- machado-joseph disease sca3 [MeSH:C4019432] [MeSH:C4019432] [MeSH:C4019432] mjd member cag polyglutamine [MeSH:C0384782] repeat disease family family disorder normally polymorphic [MeSH:C1720758] cag repeat expand result expression [MeSH:C0017262] [MeSH:C0017262] expand polyglutamine [MeSH:C0384782] domain disease gene product experimental model [MeSH:C0086272] polyglutamine [MeSH:C0384782] disease implicate nucleus [MeSH:C0034910] [MeSH:C0034910] [MeSH:C0034910] pathogenesis [MeSH:C0699748] [MeSH:C0699748] link intranuclear [MeSH:C1257788] [MeSH:C1257788] expression [MeSH:C0017262] [MeSH:C0017262] expand polyglutamine [MeSH:C0384782] neuronal dysfunction remain unclear demonstrate ataxin- disease protein [MeSH:C0012634] sca3 [MeSH:C4019432] [MeSH:C4019432] [MeSH:C4019432] mjd adopt unique conformation [MeSH:C0033625] [MeSH:C0033625] [MeSH:C0033625] express nucleus [MeSH:C0034910] [MeSH:C0034910] [MeSH:C0034910] transfecte cell monoclonal antibody 1c2 know preferentially bind expand polyglutamine [MeSH:C0384782] find bind fragment [MeSH:C0021009] ataxin- contain normal glutamine repeat addition expression [MeSH:C0017262] [MeSH:C0017262] ataxin- nucleus [MeSH:C0034910] [MeSH:C0034910] [MeSH:C0034910] expose glutamine domain [MeSH:C0017797] full-length non-pathological [MeSH:C0030660] protein allow bind monoclonal antibody 1c2 fractionation immunochemical experiment indicate novel conformation [MeSH:C0033625] [MeSH:C0033625] [MeSH:C0033625] intranuclear [MeSH:C1257788] [MeSH:C1257788] ataxin- proteolysis [MeSH:C0597304] suggest instead association nuclear protein alter structure [MeSH:C2713306] full-length ataxin- expose polyglutamine [MeSH:C0384782] domain conformation [MeSH:C0033625] [MeSH:C0033625] [MeSH:C0033625]ally alter ataxin- bind nuclear matrix [MeSH:C0028581] [MeSH:C0028581] pathological [MeSH:C0030660] form ataxin- expand polyglutamine [MeSH:C0384782] domain associate nuclear matrix [MeSH:C0028581] [MeSH:C0028581] suggest early event pathogenesis [MeSH:C0699748] [MeSH:C0699748] sca3 [MeSH:C4019432] [MeSH:C4019432] [MeSH:C4019432] mjd altered conformation [MeSH:C0033625] [MeSH:C0033625] [MeSH:C0033625] ataxin- nucleus [MeSH:C0034910] [MeSH:C0034910] [MeSH:C0034910] expose polyglutamine [MeSH:C0384782] domain,neurological
leukemia [MeSH:C0023418] nephrotic syndrome [MeSH:C0027726] organ [MeSH:C0029250] interplay,retrospective [MeSH:C0035363] examine metformin [MeSH:C0025598] stroke [MeSH:C0038454] elderly [MeSH:C0001792] patient [MeSH:C0030705] investigation [MeSH:C0035173] [MeSH:C0035173] include hepatic bilirubin albumin method participant [MeSH:C1708335] include result improve disease management [MeSH:C0039798] implication need investigation [MeSH:C0035173] [MeSH:C0035173],hepatorenal
fluoxetine [MeSH:C0016365] improve memory deficit [MeSH:C0233794] cause chemotherapy agent [MeSH:C0003392] -fluorouracil,cancer patient [MeSH:C0030705] treat systemic adjuvant chemotherapy [MeSH:C0013216] [MeSH:C0085533] describe experience deteriorat [MeSH:C0034721]ion [MeSH:C0234985] cognition [MeSH:C0009240] [MeSH:C0009240] widely chemotherapeutic agent [MeSH:C0003392] -fluorouracil -fu readily cross blood-brain barrier [MeSH:C0005854] direct effect [MeSH:C4277511] brain function [MeSH:C0031843] particular anti mitotic drug reduce [MeSH:C0003379] cell proliferat [MeSH:C0034721]ion [MeSH:C0596290] neurogenic region adult [MeSH:C0001675] brain contrast report indicate hippocampal [MeSH:C0228249] [MeSH:C0228249] [MeSH:C0228249] dependent [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] neurogenesis [MeSH:C0814002] cognition [MeSH:C0009240] [MeSH:C0009240] enhance ssri [MeSH:C0360105] antidepressant [MeSH:C0003289] [MeSH:C0003289] fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] investigation [MeSH:C0035173] behavioural effect [MeSH:C4277511] chronic week -fu week fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] separat [MeSH:C0034721]ely combination [MeSH:C0034865] -fu test adult [MeSH:C0001675] [MeSH:C0001675] lister hooded rat [MeSH:C0034721] behavioural effect [MeSH:C4277511] test context dependent [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] conditioned [MeSH:C0162518] emotional response test cer show animal treat [MeSH:C0003062] [MeSH:C0003062] -fu reduction [MeSH:C1827449] freeze [MeSH:C0085188] compare control separat [MeSH:C0034721]e animal test [MeSH:C0003062] hippocampal [MeSH:C0228249] [MeSH:C0228249] [MeSH:C0228249] dependent [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] spatial [MeSH:C0814087] working memory [MeSH:C0025265] test [MeSH:C0025265] object location recognition [MeSH:C0009240] [MeSH:C0009240] test olr animal treat [MeSH:C0003062] [MeSH:C0003062] -fu show deficit [MeSH:C0233794] ability carry olr task co administrat [MeSH:C0034721]ion fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] improve performance [MeSH:C0871966] -fu chemotherapy [MeSH:C0013216] cause reduction [MeSH:C1827449] number proliferat [MeSH:C0034721]e cell sub granular zone dentate gyrus [MeSH:C0152314] compare control reduction [MeSH:C1827449] eliminate fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] co administer [MeSH:C0001554] -fu fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] effect [MeSH:C4277511] proliferat [MeSH:C0034721]e cell number behaviour finding suggest -fu negatively affect cell proliferat [MeSH:C0034721]ion [MeSH:C0596290] hippocampal [MeSH:C0228249] [MeSH:C0228249] [MeSH:C0228249] dependent [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] [MeSH:C0101555] working memory [MeSH:C0025265] deficit [MeSH:C0233794] reverse simultaneous administrat [MeSH:C0034721]ion antidepressant [MeSH:C0003289] [MeSH:C0003289] fluoxetine [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365] [MeSH:C0016365],neurological|oncological
comparat [MeSH:C0034721]ive genome mapping ataxia-telangiectasia region mouse [MeSH:C0004135] rat [MeSH:C0034721] syrian hamster,chromosomal location [MeSH:C0040715] atm ataxia-telangiectasia [MeSH:C0004135] -mutated acat1 mitochondrial [MeSH:C0949610] acetoacetyl-coa thiolase gene mouse rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] syrian hamster determine direct r-bande fish gene colocalize c-d band mouse chromosome proximal end q2 rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] chromosome qa4-qa5 syrian hamster chromosome region mouse rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] homologous human chromosome [MeSH:C0008643] 1q fine genetic linkage map [MeSH:C0008630]ping mouse region perform interspecific [MeSH:C1257738] backcross mouse atm acat1 npat new gene isolate region flanking microsatellite dna marker [MeSH:C1519302] examine recombination [MeSH:C0034865] find atm npat acat1 d9mit6 locus locus [MeSH:C0085286] map cm distal d9mit9 cm proximal d9mit1 comparison linkage map [MeSH:C0008630] mouse chromosome mmu9 human chromosome [MeSH:C0008643] hsa1 indicate chromosomal rearrangement inversion [MeSH:C0162482] ets1 atm-npat-acat1 inversion [MeSH:C0162482] mmu9 originate chromosomal breakage boundary [MeSH:C0376628] gria4 atm-npat-acat1 hsa1 type inversion [MeSH:C0162482] appear conserve rodent [MeSH:C0035804] specie mouse rat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721] syrian hamster additional comparat [MeSH:C0034721] [MeSH:C0034721] [MeSH:C0034721]ive mapping rck gene,neurological
heart block marker [MeSH:C0018794] coronary artery disease [MeSH:C1956346],retrospective [MeSH:C0035363] examine beta-blocker hypertension adult [MeSH:C0001675] population [MeSH:C0032659] investigation [MeSH:C0035173] include smooth muscle [MeSH:C1267092] hypotensive [MeSH:C0020649] ectopic beat method [MeSH:C0033036] participant [MeSH:C1708335] include result improve outcome [MeSH:C0206277] implication practice guideline,cardiovascular
